number,title,state,html_url,user,labels,assignee,comments,created_at,updated_at,closed_at,milestone,is_pull_request,body
2819,Make MoldingSegment be a mode of Dragging versus its own PointerMove state,open,https://github.com/GraphiteEditor/Graphite/issues/2819,otdavies,,4adex,0,2025-07-02T09:33:11Z,2025-07-02T09:37:13Z,,,No,"Take a look at path_tool.rs: ~line 1700 onward.   Overall: Dragging one handle versus two handles should be effectively the same code. Molding is just dragging two handles as opposed to one.  Due to migrating slide to GG, this should remove the other PointerMove that is really also part of the dragging state, but won't be after GG."
2818,Path Tool behavior and overlay polish,open,https://github.com/GraphiteEditor/Graphite/pull/2818,otdavies,,,0,2025-07-02T08:45:41Z,2025-07-02T10:38:36Z,,,Sí,On going work to improve Path tool overlays and behavior.    Depends on #2794  Further work toward #2716  
2817,Add nodes for modifying vector paths,open,https://github.com/GraphiteEditor/Graphite/issues/2817,celyk,,,1,2025-07-02T07:47:24Z,2025-07-02T09:10:32Z,,,No,"Similar to how Instance Index and Instance Position input nodes work, but for paths. See for example Blender's Position Node: https://docs.blender.org/manual/en/latest/modeling/geometry_nodes/geometry/read/position.html  This will allow the displacement of points in a path. One should also be able to modify the color and weight along the path.  Proposed nodes: - Path Index - Path Position - Path Color - Path Weight  Each of them should have a corresponding setter node, and/or be allowed as input to the Transform and Stroke nodes. https://docs.blender.org/manual/en/latest/modeling/geometry_nodes/geometry/write/set_position.html  Down the road bezier handles should be accessible too. The more access to path data the better. "
2816,Make selected Text category nodes show a multi-line text area instead of one-line text field,open,https://github.com/GraphiteEditor/Graphite/pull/2816,Ezbaze,,,0,2025-07-02T03:04:59Z,2025-07-02T03:37:53Z,,,Sí,Modified Nodes  - String Value  - String Concatenate  - Replace String    Resolves https://discord.com/channels/731730685944922173/881073965047636018/1389675678865297488    Also closes #2806  
2815,Graph Editor Comments,open,https://github.com/GraphiteEditor/Graphite/issues/2815,lizard-demon,Design,,2,2025-07-01T22:50:44Z,2025-07-01T23:07:43Z,,,No,![Image](https://github.com/user-attachments/assets/923a9b14-2538-420f-9efa-8cd243e9ce92)
2814,Add X and Y offset overlay while dragging the select tool,open,https://github.com/GraphiteEditor/Graphite/pull/2814,Kavin006,,,2,2025-07-01T19:03:55Z,2025-07-02T06:03:29Z,,,Sí,
2812,Copy and Paste for paths,open,https://github.com/GraphiteEditor/Graphite/pull/2812,4adex,,,0,2025-07-01T10:28:49Z,2025-07-01T22:11:44Z,,,Sí,Closes #2744 
2810,Suggestion: Tab to swap between Select and Path tool similar to Blender,open,https://github.com/GraphiteEditor/Graphite/issues/2810,otdavies,Design,Keavon,0,2025-07-01T07:50:30Z,2025-07-01T07:51:41Z,,,No,"As it stands, we have _A -> V -> A_ as a very common key input when working on vector shapes. I recommend using tab to swap between the ""object mode"" (Select Tool) to the ""edit mode"" (Path tool). This would better match blender and the key is currently unused."
2808,Add masking,open,https://github.com/GraphiteEditor/Graphite/pull/2808,mTvare6,,,0,2025-07-01T02:34:15Z,2025-07-01T03:17:12Z,,,Sí,
2807,Chrome-specific JS debugging: dragging the increment mode number field sometimes jumps at the start,open,https://github.com/GraphiteEditor/Graphite/issues/2807,Keavon,"Help Wanted,Good First Issue,Web,Paper Cut",,0,2025-06-30T22:23:16Z,2025-06-30T22:33:51Z,,,No,"This has happened for a long time, but I should really file an issue, so here it is. It seems to probably happen only in Chrome, unless perhaps it is just harder to reproduce in Firefox (I wasn't able to reproduce it in FF in my testing right now, but haven't ruled it out). See `NumberInput.svelte`.  When you click and drag a number input field of the increment (not range) style, meaning the kind you can drag infinitely left or right, it will sometimes teleport the value to a wildly different value from the one it started with. This can be reproduced by drawing a rectangle and dragging left and right on its stroke weight parameter in the Properties panel repeatedly in quick, small left and right drags until occasionally it will make a big jump.  I hypothesize this is caused by weirdness in the event ordering and mouse position reporting with the [pointer lock](https://developer.mozilla.org/en-US/docs/Web/API/Pointer_Lock_API) API, and it might be related to the widget being broken in Safari: #2038. I recommend logging the values that are being reported by the API and current state every frame to narrow down when the events occur and produce the discrepancy.  At the the 4-second mark in this video, we see it jump from `131.3` to `17.3` immediately when the click-and-drag begins:  https://github.com/user-attachments/assets/61b1b1e6-4560-4555-aac5-f7b54cbfacb9"
