number,title,state,html_url,user,labels,assignee,comments,created_at,updated_at,closed_at,milestone,is_pull_request,body
2827,"Improve hotkeys with canonical flag, more industry-standard mappings, and fix GRS menu bar labels",closed,https://github.com/GraphiteEditor/Graphite/pull/2827,Keavon,,,0,2025-07-04T11:50:24Z,2025-07-04T11:58:53Z,2025-07-04T11:58:52Z,,Sí,"The `input_mappings.rs` entries now accept the `canonical` argument which should occur no more than once per action and it means that it should be the standard shortcut which hotkey labels and tooltips in the UI are generated for.    ---    Hotkeys were updated a bit to use slightly more common shortcuts, as well as aliases added for cases where people may be more familiar with an alternative key. In particular, we now reset the working colors with <kbd>D</kbd> which had not been used as a shortcut otherwise.    ---    These were missing which is now a fixed problem:    ![capture](https://github.com/user-attachments/assets/00f0444e-76c7-422e-bafd-83abcb97b911)"
2825,Fix broken migration for `CoordinateValueNode`,closed,https://github.com/GraphiteEditor/Graphite/pull/2825,Firestar99,,,0,2025-07-03T12:05:56Z,2025-07-03T12:12:20Z,2025-07-03T12:12:19Z,,Sí,
2820,Yo,closed,https://github.com/GraphiteEditor/Graphite/issues/2820,omid717,,,0,2025-07-02T11:25:08Z,2025-07-02T11:26:57Z,2025-07-02T11:26:57Z,,No,- [ ] > []()uea``
2813,"Clean up node catalog by adding missing units, more tooltips; fix 'Line' node missing parameters",closed,https://github.com/GraphiteEditor/Graphite/pull/2813,Keavon,,,0,2025-07-01T12:30:29Z,2025-07-01T14:47:56Z,2025-07-01T14:47:55Z,,Sí,"- Audit and resolve units on all node macro node signatures  - Add new descriptions for math node parameter tooltips  - Fix ""Line"" node missing parameters when constructed from the new nodes menu  - Tidy up node code"
2811,Jj,closed,https://github.com/GraphiteEditor/Graphite/issues/2811,Lavluuuuuu,,,0,2025-07-01T09:09:56Z,2025-07-01T09:18:53Z,2025-07-01T09:18:36Z,,No,
2809,[Crash Report] Opening new document crashes in firefox,closed,https://github.com/GraphiteEditor/Graphite/issues/2809,nrjais,,,5,2025-07-01T05:06:15Z,2025-07-01T15:38:53Z,2025-07-01T15:13:13Z,,No,"**Describe the Crash** Explain clearly what you were doing when the crash occurred.  **Steps To Reproduce** Describe precisely how the crash occurred, step by step, starting with a new editor window. 1. Open the Graphite editor at https://editor.graphite.rs 2. Create new document 3.  4.  5.   **Additional Details** Provide any further information or context that you think would be helpful in fixing the issue. Screenshots or video can be linked or attached to this issue.  **Browser and OS** Firefox 142, Mac  **Stack Trace** Copied from the crash dialog in the Graphite editor:  ``` panicked at editor/src/node_graph_executor.rs:100:78: Failed to send generation request: ""sending on a closed channel""  Fp/<@https://editor.graphite.rs/assets/index-DCQHZjFB.js:943:1179 g@https://editor.graphite.rs/assets/index-DCQHZjFB.js:929:64931 handleJsMessage@https://editor.graphite.rs/assets/index-DCQHZjFB.js:929:65079 vp/e<@https://editor.graphite.rs/assets/index-DCQHZjFB.js:929:65472 j2/o.wbg.__wbg_call_833bed5770ea2041/<@https://editor.graphite.rs/assets/index-DCQHZjFB.js:929:12695 vt@https://editor.graphite.rs/assets/index-DCQHZjFB.js:928:6130 j2/o.wbg.__wbg_call_833bed5770ea2041@https://editor.graphite.rs/assets/index-DCQHZjFB.js:929:12665 graphite_wasm.wasm._ZN13graphite_wasm10editor_api12EditorHandle27send_frontend_message_to_js17h0668831c386ddb67E@https://editor.graphite.rs/assets/graphite_wasm_bg-9GuQ_qVQ.wasm:wasm-function[3750]:0x8b52d3 graphite_wasm.wasm._ZN4core3ops8function2Fn4call17h7e50954c4596dc1dE@https://editor.graphite.rs/assets/graphite_wasm_bg-9GuQ_qVQ.wasm:wasm-function[14332]:0xba9680 graphite_wasm.wasm._ZN3std9panicking20rust_panic_with_hook17h1f8226e239ffaa71E@https://editor.graphite.rs/assets/graphite_wasm_bg-9GuQ_qVQ.wasm:wasm-function[7604]:0xa908ae graphite_wasm.wasm._ZN4core9panicking9panic_fmt17hb6c28595a1feee80E@https://editor.graphite.rs/assets/graphite_wasm_bg-9GuQ_qVQ.wasm:wasm-function[11844]:0xb7e006 graphite_wasm.wasm._ZN4core6result13unwrap_failed17h0af004c27326640fE@https://editor.graphite.rs/assets/graphite_wasm_bg-9GuQ_qVQ.wasm:wasm-function[9341]:0xb3ae0f graphite_wasm.wasm._ZN15graphite_editor19node_graph_executor17NodeGraphExecutor28submit_node_graph_evaluation17haf89eb45f7a7a755E@https://editor.graphite.rs/assets/graphite_wasm_bg-9GuQ_qVQ.wasm:wasm-function[2025]:0x6eec94 graphite_wasm.wasm._ZN325_$LT$graphite_editor..messages..portfolio..portfolio_message_handler..PortfolioMessageHandler$u20$as$u20$graphite_editor..utility_traits..MessageHandler$LT$graphite_editor..messages..portfolio..portfolio_message..PortfolioMessage$C$graphite_editor..messages..portfolio..portfolio_message_handler..PortfolioMessageData$GT$$GT$15process_message17h88e94f21d76b7b9bE@https://editor.graphite.rs/assets/graphite_wasm_bg-9GuQ_qVQ.wasm:wasm-function[309]:0x95613 graphite_wasm.wasm._ZN15graphite_editor10dispatcher10Dispatcher14handle_message17hef80e4234270813cE@https://editor.graphite.rs/assets/graphite_wasm_bg-9GuQ_qVQ.wasm:wasm-function[435]:0x2538e6 graphite_wasm.wasm._ZN13graphite_wasm10editor_api12EditorHandle19widget_value_update17hb8f1338393aa2634E@https://editor.graphite.rs/assets/graphite_wasm_bg-9GuQ_qVQ.wasm:wasm-function[2059]:0x7052d8 graphite_wasm.wasm.editorhandle_widgetValueCommitAndUpdate externref shim multivalue shim@https://editor.graphite.rs/assets/graphite_wasm_bg-9GuQ_qVQ.wasm:wasm-function[11847]:0xb7e318 widgetValueCommitAndUpdate@https://editor.graphite.rs/assets/index-DCQHZjFB.js:929:4156 h@https://editor.graphite.rs/assets/index-DCQHZjFB.js:970:57629 Ce@https://editor.graphite.rs/assets/index-DCQHZjFB.js:970:58212 n@https://editor.graphite.rs/assets/index-DCQHZjFB.js:970:50249 h@https://editor.graphite.rs/assets/index-DCQHZjFB.js:967:65697 ```"
2806,Wrong link in frontend/README.md,closed,https://github.com/GraphiteEditor/Graphite/issues/2806,alvarogalloc,,,1,2025-06-30T18:46:58Z,2025-07-02T03:06:57Z,2025-07-02T03:06:57Z,,No,https://github.com/GraphiteEditor/Graphite/blob/master/frontend/README.md has a hyperlink 'Tauri' that refers to https://tauri.studio/ instead of https://tauri.app/ in line 5
2805,Fix running tests locally; fix migrations for relocated nodes,closed,https://github.com/GraphiteEditor/Graphite/pull/2805,Firestar99,,,0,2025-06-30T17:44:49Z,2025-07-04T09:56:23Z,2025-07-04T09:56:22Z,,Sí,
2802,Disable preprocessor insertion of IntoNodes in the graph to avoid intermittent math node type errors,closed,https://github.com/GraphiteEditor/Graphite/pull/2802,TrueDoctor,,,0,2025-06-30T09:09:08Z,2025-07-03T12:41:46Z,2025-06-30T10:07:09Z,,Sí,Temporarily fixes regression introduced in #2478
2801,Fix: Unsafe File Access Could Allow Unauthorized Data Retrieval in website/install-fonts.js,closed,https://github.com/GraphiteEditor/Graphite/pull/2801,kira-offgrid,,,1,2025-06-30T04:34:02Z,2025-06-30T04:44:51Z,2025-06-30T04:40:28Z,,Sí,"**Context and Purpose:**  This PR automatically remediates a security vulnerability: - **Description:** Detected possible user input going into a `path.join` or `path.resolve` function. This could possibly lead to a path traversal vulnerability,  where the attacker can access arbitrary files stored in the file system. Instead, be sure to sanitize or validate user input first. - **Rule ID:** javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal - **Severity:** MEDIUM - **File:** website/install-fonts.js - **Lines Affected:** 84 - 84  This change is necessary to protect the application from potential security risks associated with this vulnerability.  **Solution Implemented:**  The automated remediation process has applied the necessary changes to the affected code in `website/install-fonts.js` to resolve the identified issue.  Please review the changes to ensure they are correct and integrate as expected."
